id,postal,crowd
1,544965,50.00
2,467352,50.00
3,678295,50.00
4,538776,50.00
5,129880,34.50
6,119963,50.00
7,237994,11.50
8,556083,50.00
9,048980,50.00
10,556694,50.00
11,238872,50.00
12,159682,41.98
13,689687,50.00
14,379131,50.00
15,519498,50.00
16,560629,50.00
17,649882,50.00
18,650153,58.65
19,670260,50.00
20,270043,40.25
21,757632,31.05
22,528833,9.20
23,797650,50.00
24,678278,50.00
25,609646,50.00
26,640501,51.75
27,730676,47.15
28,400301,23.00
29,640960,27.60
30,358361,31.05
31,550254,50.00
32,521201,57.50
33,529684,50.00
34,082001,50.00
35,310107,50.00
36,730303,51.75
37,680624,50.00
38,760926,63.25
39,760290,57.50
40,677738,43.70
41,544583,50.00
42,618495,29.33
43,529705,14.38
44,569734,50.00
45,319194,50.00
46,327737,27.60
47,609958,29.90
